DateKey,Year,Quarter,MonthNumber,MonthName,WeekNumber,DayName,IsWeekday
2025-01-01,2025,Q1,1,January,1,Wednesday,Yes
2025-01-02,2025,Q1,1,January,1,Thursday,Yes
2025-01-03,2025,Q1,1,January,1,Friday,Yes
2025-01-04,2025,Q1,1,January,1,Saturday,No
2025-01-05,2025,Q1,1,January,1,Sunday,No
2025-01-06,2025,Q1,1,January,2,Monday,Yes
2025-01-07,2025,Q1,1,January,2,Tuesday,Yes
2025-01-08,2025,Q1,1,January,2,Wednesday,Yes
2025-01-09,2025,Q1,1,January,2,Thursday,Yes
2025-01-10,2025,Q1,1,January,2,Friday,Yes
2025-01-11,2025,Q1,1,January,2,Saturday,No
2025-01-12,2025,Q1,1,January,2,Sunday,No
2025-01-13,2025,Q1,1,January,3,Monday,Yes
2025-01-14,2025,Q1,1,January,3,Tuesday,Yes
2025-01-15,2025,Q1,1,January,3,Wednesday,Yes
2025-01-16,2025,Q1,1,January,3,Thursday,Yes
2025-01-17,2025,Q1,1,January,3,Friday,Yes
2025-01-18,2025,Q1,1,January,3,Saturday,No
2025-01-19,2025,Q1,1,January,3,Sunday,No
2025-01-20,2025,Q1,1,January,4,Monday,Yes
2025-01-21,2025,Q1,1,January,4,Tuesday,Yes
2025-01-22,2025,Q1,1,January,4,Wednesday,Yes
2025-01-23,2025,Q1,1,January,4,Thursday,Yes
2025-01-24,2025,Q1,1,January,4,Friday,Yes
2025-01-25,2025,Q1,1,January,4,Saturday,No
2025-01-26,2025,Q1,1,January,4,Sunday,No
2025-01-27,2025,Q1,1,January,5,Monday,Yes
2025-01-28,2025,Q1,1,January,5,Tuesday,Yes
2025-01-29,2025,Q1,1,January,5,Wednesday,Yes
2025-01-30,2025,Q1,1,January,5,Thursday,Yes
2025-01-31,2025,Q1,1,January,5,Friday,Yes
2025-02-01,2025,Q1,2,February,5,Saturday,No
2025-02-02,2025,Q1,2,February,5,Sunday,No
2025-02-03,2025,Q1,2,February,6,Monday,Yes
2025-02-04,2025,Q1,2,February,6,Tuesday,Yes
2025-02-05,2025,Q1,2,February,6,Wednesday,Yes
2025-02-06,2025,Q1,2,February,6,Thursday,Yes
2025-02-07,2025,Q1,2,February,6,Friday,Yes
2025-02-08,2025,Q1,2,February,6,Saturday,No
2025-02-09,2025,Q1,2,February,6,Sunday,No
2025-02-10,2025,Q1,2,February,7,Monday,Yes
2025-02-11,2025,Q1,2,February,7,Tuesday,Yes
2025-02-12,2025,Q1,2,February,7,Wednesday,Yes
2025-02-13,2025,Q1,2,February,7,Thursday,Yes
2025-02-14,2025,Q1,2,February,7,Friday,Yes
2025-02-15,2025,Q1,2,February,7,Saturday,No
2025-02-16,2025,Q1,2,February,7,Sunday,No
2025-02-17,2025,Q1,2,February,8,Monday,Yes
2025-02-18,2025,Q1,2,February,8,Tuesday,Yes
2025-02-19,2025,Q1,2,February,8,Wednesday,Yes
2025-02-20,2025,Q1,2,February,8,Thursday,Yes
2025-02-21,2025,Q1,2,February,8,Friday,Yes
2025-02-22,2025,Q1,2,February,8,Saturday,No
2025-02-23,2025,Q1,2,February,8,Sunday,No
2025-02-24,2025,Q1,2,February,9,Monday,Yes
2025-02-25,2025,Q1,2,February,9,Tuesday,Yes
2025-02-26,2025,Q1,2,February,9,Wednesday,Yes
2025-02-27,2025,Q1,2,February,9,Thursday,Yes
2025-02-28,2025,Q1,2,February,9,Friday,Yes
2025-03-01,2025,Q1,3,March,9,Saturday,No
2025-03-02,2025,Q1,3,March,9,Sunday,No
2025-03-03,2025,Q1,3,March,10,Monday,Yes
2025-03-04,2025,Q1,3,March,10,Tuesday,Yes
2025-03-05,2025,Q1,3,March,10,Wednesday,Yes
2025-03-06,2025,Q1,3,March,10,Thursday,Yes
2025-03-07,2025,Q1,3,March,10,Friday,Yes
2025-03-08,2025,Q1,3,March,10,Saturday,No
2025-03-09,2025,Q1,3,March,10,Sunday,No
2025-03-10,2025,Q1,3,March,11,Monday,Yes
2025-03-11,2025,Q1,3,March,11,Tuesday,Yes
2025-03-12,2025,Q1,3,March,11,Wednesday,Yes
2025-03-13,2025,Q1,3,March,11,Thursday,Yes
2025-03-14,2025,Q1,3,March,11,Friday,Yes
2025-03-15,2025,Q1,3,March,11,Saturday,No
2025-03-16,2025,Q1,3,March,11,Sunday,No
2025-03-17,2025,Q1,3,March,12,Monday,Yes
2025-03-18,2025,Q1,3,March,12,Tuesday,Yes
2025-03-19,2025,Q1,3,March,12,Wednesday,Yes
2025-03-20,2025,Q1,3,March,12,Thursday,Yes
2025-03-21,2025,Q1,3,March,12,Friday,Yes
2025-03-22,2025,Q1,3,March,12,Saturday,No
2025-03-23,2025,Q1,3,March,12,Sunday,No
2025-03-24,2025,Q1,3,March,13,Monday,Yes
2025-03-25,2025,Q1,3,March,13,Tuesday,Yes
2025-03-26,2025,Q1,3,March,13,Wednesday,Yes
2025-03-27,2025,Q1,3,March,13,Thursday,Yes
2025-03-28,2025,Q1,3,March,13,Friday,Yes
2025-03-29,2025,Q1,3,March,13,Saturday,No
2025-03-30,2025,Q1,3,March,13,Sunday,No
2025-03-31,2025,Q1,3,March,14,Monday,Yes
2025-04-01,2025,Q2,4,April,14,Tuesday,Yes
2025-04-02,2025,Q2,4,April,14,Wednesday,Yes
2025-04-03,2025,Q2,4,April,14,Thursday,Yes
2025-04-04,2025,Q2,4,April,14,Friday,Yes
2025-04-05,2025,Q2,4,April,14,Saturday,No
2025-04-06,2025,Q2,4,April,14,Sunday,No
2025-04-07,2025,Q2,4,April,15,Monday,Yes
2025-04-08,2025,Q2,4,April,15,Tuesday,Yes
2025-04-09,2025,Q2,4,April,15,Wednesday,Yes
2025-04-10,2025,Q2,4,April,15,Thursday,Yes
2025-04-11,2025,Q2,4,April,15,Friday,Yes
2025-04-12,2025,Q2,4,April,15,Saturday,No
2025-04-13,2025,Q2,4,April,15,Sunday,No
2025-04-14,2025,Q2,4,April,16,Monday,Yes
2025-04-15,2025,Q2,4,April,16,Tuesday,Yes
2025-04-16,2025,Q2,4,April,16,Wednesday,Yes
2025-04-17,2025,Q2,4,April,16,Thursday,Yes
2025-04-18,2025,Q2,4,April,16,Friday,Yes
2025-04-19,2025,Q2,4,April,16,Saturday,No
2025-04-20,2025,Q2,4,April,16,Sunday,No
2025-04-21,2025,Q2,4,April,17,Monday,Yes
2025-04-22,2025,Q2,4,April,17,Tuesday,Yes
2025-04-23,2025,Q2,4,April,17,Wednesday,Yes
2025-04-24,2025,Q2,4,April,17,Thursday,Yes
2025-04-25,2025,Q2,4,April,17,Friday,Yes
2025-04-26,2025,Q2,4,April,17,Saturday,No
2025-04-27,2025,Q2,4,April,17,Sunday,No
2025-04-28,2025,Q2,4,April,18,Monday,Yes
2025-04-29,2025,Q2,4,April,18,Tuesday,Yes
2025-04-30,2025,Q2,4,April,18,Wednesday,Yes
2025-05-01,2025,Q2,5,May,18,Thursday,Yes
2025-05-02,2025,Q2,5,May,18,Friday,Yes
2025-05-03,2025,Q2,5,May,18,Saturday,No
2025-05-04,2025,Q2,5,May,18,Sunday,No
2025-05-05,2025,Q2,5,May,19,Monday,Yes
2025-05-06,2025,Q2,5,May,19,Tuesday,Yes
2025-05-07,2025,Q2,5,May,19,Wednesday,Yes
2025-05-08,2025,Q2,5,May,19,Thursday,Yes
2025-05-09,2025,Q2,5,May,19,Friday,Yes
2025-05-10,2025,Q2,5,May,19,Saturday,No
2025-05-11,2025,Q2,5,May,19,Sunday,No
2025-05-12,2025,Q2,5,May,20,Monday,Yes
2025-05-13,2025,Q2,5,May,20,Tuesday,Yes
2025-05-14,2025,Q2,5,May,20,Wednesday,Yes
2025-05-15,2025,Q2,5,May,20,Thursday,Yes
2025-05-16,2025,Q2,5,May,20,Friday,Yes
2025-05-17,2025,Q2,5,May,20,Saturday,No
2025-05-18,2025,Q2,5,May,20,Sunday,No
2025-05-19,2025,Q2,5,May,21,Monday,Yes
2025-05-20,2025,Q2,5,May,21,Tuesday,Yes
2025-05-21,2025,Q2,5,May,21,Wednesday,Yes
2025-05-22,2025,Q2,5,May,21,Thursday,Yes
2025-05-23,2025,Q2,5,May,21,Friday,Yes
2025-05-24,2025,Q2,5,May,21,Saturday,No
2025-05-25,2025,Q2,5,May,21,Sunday,No
2025-05-26,2025,Q2,5,May,22,Monday,Yes
