order_id,dispatch_date,delivery_date,branch,delay_days,order_value_naira,delivery_partner,complaint_notes
ORD-0181,2026-08-04,2026-08-05,Lekki,1,45000,CityLink Couriers,
ORD-0148,2026-08-13,2026-08-15,Lekki,2,45000,Rapid Wheels Logistics,
ORD-0368,2026-08-11,2026-08-11,Yaba,0,31000,Zenith Dispatch,
ORD-0269,2026-08-15,2026-08-16,Lekki,1,45000,Zenith Dispatch,
ORD-0211,2026-08-07,2026-08-10,Lekki,3,31000,CityLink Couriers,
ORD-0333,2026-08-19,2026-08-19,Yaba,0,15000,SwiftHaul Express,
ORD-0049,2026-08-10,2026-08-12,Ikeja,2,8900,SwiftHaul Express,
ORD-0043,2026-08-07,2026-08-09,Ikeja,2,31000,Zenith Dispatch,
ORD-0088,2026-08-24,2026-08-26,Ikeja,2,12500,Rapid Wheels Logistics,
ORD-0393,2026-08-14,2026-08-14,Yaba,0,31000,SwiftHaul Express,
ORD-0257,2026-08-20,2026-08-20,Lekki,0,18000,Zenith Dispatch,
ORD-0376,2026-08-24,2026-08-26,Yaba,2,31000,SwiftHaul Express,
ORD-0027,2026-08-09,2026-08-12,Ikeja,3,18000,SwiftHaul Express,
ORD-0222,2026-08-23,2026-08-24,Lekki,1,12500,Rapid Wheels Logistics,
ORD-0162,2026-08-07,2026-08-09,Lekki,2,27500,CityLink Couriers,
ORD-0246,2026-08-20,2026-08-20,Lekki,0,18000,CityLink Couriers,
ORD-0099,2026-08-04,2026-08-08,Ikeja,4,52500,SwiftHaul Express,"Wrong address on order, corrected and redelivered"
ORD-0146,2026-08-20,2026-08-21,Lekki,1,8900,Zenith Dispatch,
ORD-0322,2026-08-07,2026-08-08,Yaba,1,31000,SwiftHaul Express,
ORD-0266,2026-08-06,2026-08-06,Lekki,0,8900,CityLink Couriers,
ORD-0111,2026-08-19,2026-08-21,Ikeja,2,67000,SwiftHaul Express,
ORD-0249,2026-08-12,2026-08-12,Lekki,0,27500,CityLink Couriers,
ORD-0308,2026-08-22,2026-08-22,Yaba,0,12500,Rapid Wheels Logistics,
ORD-0209,2026-08-08,2026-08-08,Lekki,0,67000,CityLink Couriers,
ORD-0188,2026-08-18,2026-08-22,Lekki,4,12500,Rapid Wheels Logistics,
ORD-0400,2026-08-09,2026-08-11,Yaba,2,15000,SwiftHaul Express,
ORD-0084,2026-08-14,2026-08-15,Ikeja,1,45000,SwiftHaul Express,
ORD-0340,2026-08-21,2026-08-23,Yaba,2,31000,Rapid Wheels Logistics,
ORD-0140,2026-08-12,2026-08-14,Ikeja,2,15000,CityLink Couriers,
ORD-0197,2026-08-17,2026-08-20,Lekki,3,67000,CityLink Couriers,"Vehicle breakdown, order delayed to next shipment"
