Application_ID,Application_Date,Branch_Region,Gender,Marital_Status,Dependents,Education,Employment_Type,Loan_Purpose,Monthly_Income_NGN,Coapplicant_Income_NGN,Loan_Amount_NGN,Loan_Term_Months,Credit_History,Loan_Status
TBM3062,2025-02-16,Lagos,Male,Single,0,Not Graduate,Salaried,Land Acquisition,188900,0,1733000.0,360.0,1.0,Approved
TBM3277,2026-02-27,Kano,Male,Single,1,Graduate,Self-Employed,Construction,326300,0,2155000.0,300.0,1.0,Approved
TBM3311,07-Mar-2026,Ibadan,Male,Single,0,Not Graduate,Salaried,Land Acquisition,233700,0,2612000.0,60.0,1.0,Approved
TBM3008,2026-05-11,Lagos,Male,Married,0,Not Graduate,Self-Employed,Construction,383100,91100,4163000.0,180.0,1.0,Rejected
TBM3127,10-Nov-2025,Lagos,Male,Married,1,Graduate,Self-Employed,Land Acquisition,131700,0,300000.0,180.0,1.0,Approved
TBM3148,26-Aug-2025,Abuja,,Married,1,Not Graduate,Salaried,Renovation,151800,0,2715000.0,120.0,1.0,Approved
TBM3175,2026-03-19,Abuja,Male,Married,0,Not Graduate,Salaried,Renovation,206200,0,1460000.0,180.0,1.0,Approved
TBM3004,19-Oct-2024,Lagos,Male,Married,0,Graduate,Salaried,Renovation,160000,0,385000.0,36.0,1.0,Approved
TBM3196,28-May-2026,Abuja,Male,Single,0,Not Graduate,Salaried,Purchase,200700,0,3367000.0,60.0,1.0,Approved
TBM3266,26/07/2026,Kano,Male,Single,3+,Graduate,Self-Employed,Purchase,370700,0,3430000.0,240.0,1.0,Approved
TBM3058,18-Jun-2025,Lagos,Female,Married,0,Not Graduate,Salaried,Construction,211400,0,3132000.0,300.0,,Rejected
TBM3275,2026-07-11,Kano,,Married,2,Not Graduate,Salaried,Renovation,260700,0,3964000.0,60.0,1.0,Approved
TBM3342,10/04/2025,JOS,Male,Single,1,Not Graduate,Salaried,Construction,204300,0,2618000.0,180.0,0.0,Rejected
TBM3232,2025-04-06,Port Harcourt,Male,Single,0,Graduate,Self-Employed,Purchase,193800,0,382000.0,300.0,1.0,Approved
TBM3054,2025-04-23,Lagos,Female,Married,1,Graduate,Salaried,Purchase,167300,96900,300000.0,120.0,0.0,Rejected
TBM3093,2025-02-06,Lagos,Male,Married,2,Not Graduate,Salaried,Renovation,471500,0,6537000.0,60.0,,Approved
TBM3238,22-Sep-2024,Port Harcourt,Female,Single,3+,Graduate,Salaried,Renovation,338500,0,868000.0,180.0,1.0,Rejected
TBM3345,11-May-2026,Jos,Female,Married,1,Graduate,Salaried,Construction,174200,0,300000.0,60.0,1.0,Approved
TBM3181,2026-03-07,Abuja,Male,Married,1,Not Graduate,Salaried,Renovation,158800,0,2654000.0,180.0,1.0,Approved
TBM3334,17-Aug-2025,Ibadan,Female,Married,0,Graduate,Salaried,Land Acquisition,130300,64100,2637000.0,120.0,1.0,Approved
TBM3362,2025-11-20,Jos,Male,Married,1,Not Graduate,Salaried,Construction,222500,0,3396000.0,240.0,0.0,Rejected
TBM3217,25/08/2024,Port Harcourt,Male,Single,1,Not Graduate,Salaried,Construction,265900,0,3275000.0,60.0,1.0,Rejected
TBM3108,2026-04-09,Lagos,Female,Married,1,Graduate,Self Employed,Renovation,255400,0,3003000.0,180.0,1.0,Approved
TBM3050,26/06/2025,Lagos,Female,Married,1,Not Graduate,Self-Employed,Construction,438800,98800,5449000.0,120.0,1.0,Rejected
TBM3119,21/02/2025,Lagos,Male,Single,0,Not Graduate,Salaried,Land Acquisition,253300,0,2157000.0,180.0,0.0,Rejected
TBM3011,2025-03-06,Lagos,Male,Single,2,Graduate,Self-Employed,Renovation,150100,0,1569000.0,300.0,0.0,Approved
TBM3087,26-Feb-2026,Lagos,Female,Married,1,Not Graduate,Self-Employed,Land Acquisition,198400,0,4701000.0,120.0,1.0,Rejected
TBM3358,2025-08-26,Jos,Male,Single,1,Not Graduate,Self-Employed,Purchase,523600,0,6699000.0,180.0,0.0,Approved
TBM3247,2026-01-16,Kano,Female,Married,1,Graduate,Salaried,Construction,260000,46500,1693000.0,12.0,1.0,Approved
TBM3066,13-Jul-2026,Lagos,Female,Single,1,Not Graduate,Self-Employed,Renovation,818100,154400,8654000.0,360.0,1.0,Rejected
TBM3155,04-Oct-2024,Abuja,Female,Single,2,Graduate,Salaried,Land Acquisition,130500,0,311000.0,240.0,1.0,Approved
TBM3288,03/03/2026,Kano,Male,Single,2,Graduate,Salaried,Construction,209600,58700,2661000.0,300.0,1.0,Approved
TBM3272,06/05/2026,Kano,Male,Single,3+,Graduate,Salaried,Construction,155900,0,1749000.0,36.0,0.0,Rejected
TBM3195,2025-11-24,Abuja,Female,Married,2,Not Graduate,Salaried,Land Acquisition,125700,0,1700000.0,300.0,1.0,Approved
TBM3367,26-Dec-2024,Jos,Male,Single,1,Graduate,Salaried,Purchase,221400,0,3158000.0,240.0,1.0,Approved
TBM3151,15-Aug-2027,Abuja,Male,M,3+,Graduate,Salaried,Purchase,231600,46000,584000.0,240.0,1.0,Approved
TBM3286,2026-06-27,Kano,Male,Married,0,Graduate,Salaried,Working Capital,208800,0,3021000.0,240.0,1.0,Approved
TBM3331,05-May-2026,Ibadan,Female,Married,1,Graduate,Salaried,Construction,118600,0,300000.0,180.0,0.0,Rejected
TBM3051,22/08/2025,Lagos,Male,Married,1,Graduate,Self-Employed,Construction,475400,0,9541000.0,300.0,1.0,Approved
TBM3064,11-Jun-2026,Lagos,Male,Married,0,Not Graduate,Salaried,Purchase,249100,100900,2798000.0,240.0,1.0,Approved
