Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
316-68-6352,Ikeja,Lagos,Member,Female,Food and beverages,3636.00,2,363.60,7635.60,1/21/2019,10:00:00 AM,Cash,7272.00,4.761904762,363.60,7.1
826-58-8051,Wuse,Abuja,Normal,Male,Home and lifestyle,6219.00,4,1243.80,26119.80,1/6/2019,7:46:00 PM,Ewallet,24876.00,4.761904762,1243.80,4.3
565-67-6697,Wuse,Abuja,Member,Male,Home and lifestyle,2700.00,9,1215.00,25515.00,3/2/2019,2:16:00 PM,Cash,24300.00,4.761904762,1215.00,
246-11-3901,Trans-Amadi,Port Harcourt,Normal,Female,Electronic accessories,3280.00,10,1640.00,34440.00,2/15/2019,12:12:00 PM,Cash,32800.00,4.761904762,1640.00,6.2
276-75-6884,Ikeja,Lagos,Normal,Female,Health and beauty,6871.00,3,1030.65,21643.65,3/4/2019,10:05:00 AM,Cash,20613.00,4.761904762,1030.65,8.7
326-71-2155,Trans-Amadi,Port Harcourt,Normal,Female,SPORTS AND TRAVEL   ,7395.00,4,1479.00,31059.00,2/3/2019,10:02:00 AM,Cash,29580.00,4.761904762,1479.00,6.1
339-12-4827,Wuse,Abuja,Member,Female,Fashion accessories,7396.00,1,369.80,7765.80,1/5/2019,11:32:00 AM,Credit card,7396.00,4.761904762,369.80,5.0
549-96-4200,Trans-Amadi,Port Harcourt,Member,Male,Food and beverages,1704.00,4,340.80,7156.80,3/8/2019,8:15:00 PM,Ewallet,6816.00,4.761904762,340.80,7.0
725-96-3778,Trans-Amadi,Port Harcourt,Member,Female,HOME AND LIFESTYLE   ,8925.00,8,3570.00,74970.00,1/20/2019,10:13:00 AM,Cash,71400.00,4.761904762,3570.00,4.7
262-47-2794,Wuse,Abuja,Member,Male,Home and lifestyle,7186.00,8,2874.40,60362.40,3/6/2019,3:07:00 PM,Credit card,57488.00,4.761904762,2874.40,6.2
573-58-9734,Wuse,Abuja,Normal,Female,Fashion accessories,3037.00,3,455.55,9566.55,3/28/2019,1:41:00 PM,Ewallet,9111.00,4.761904762,455.55,5.1
714-02-3114,Trans-Amadi,Port Harcourt,Normal,Female,Sports and travel,9880.00,2,988.00,20748.00,2/21/2019,11:39:00 AM,Cash,19760.00,4.761904762,988.00,7.7
339-96-8318,Wuse,Abuja,Member,Male,Fashion accessories,8131.00,7,2845.85,59762.85,3/1/2019,7:49:00 PM,Ewallet,56917.00,4.761904762,2845.85,6.3
440-59-5691,Trans-Amadi,Port Harcourt,Member,Female,Health and beauty,3715.00,7,1300.25,27305.25,2/8/2019,1:12:00 PM,Credit card,26005.00,4.761904762,1300.25,7.7
211-30-9270,Trans-Amadi,Port Harcourt,Normal,Male,Health and beauty,1741.00,5,435.25,9140.25,1/28/2019,3:16:00 PM,Credit card,8705.00,4.761904762,435.25,4.9
183-56-6882,Trans-Amadi,Port Harcourt,Member,Female,Food and beverages,9942.00,4,1988.40,41756.40,2/6/2019,10:42:00 AM,Ewallet,39768.00,4.761904762,1988.40,7.5
529-56-3974,Wuse,Abuja,Member,Female,Electronic accessories,2551.00,4,510.20,10714.20,3/9/2019,5:03:00 PM,Cash,10204.00,4.761904762,510.20,6.8
301-11-9629,Ikeja,Lagos,Normal,Female,Sports and travel,1910.00,7,668.50,14038.50,1/15/2019,10:43:00 AM,Cash,13370.00,4.761904762,668.50,9.7
302-15-2162,Trans-Amadi,Port Harcourt,Member,Male,Health and beauty,4653.00,6,1395.90,29313.90,3/3/2019,10:54:00 AM,Credit card,27918.00,4.761904762,1395.90,4.3
413-20-6708,Trans-Amadi,Port Harcourt,Member,Female,Fashion accessories,5147.00,1,257.35,5404.35,3/18/2019,3:52:00 PM,Ewallet,5147.00,4.761904762,257.35,8.5
590-83-4591,Wuse,Abuja,Member,Female,Electronic accessories,8745.00,6,2623.50,55093.50,17-02-2019,2:40:00 PM,Credit card,52470.00,4.761904762,2623.50,8.8
593-95-4461,Trans-Amadi,Port Harcourt,Member,Male,HOME AND LIFESTYLE   ,7486.00,1,374.30,7860.30,3/24/2019,2:49:00 PM,Cash,7486.00,4.761904762,374.30,6.9
