title,description,type,question,options,answer,difficulty
descriptive statistics and distributions,Definition of the mean,multiple choice,"What does the ""mean"" of a dataset represent?",The value that appears most often|The sum of all values divided by the number of values|The middle value when the data is sorted|The difference between the highest and lowest value,The sum of all values divided by the number of values,beginner
descriptive statistics and distributions,Definition of the median,True or False,"True or False: The median is found by sorting the data and taking the middle value, or the average of the two middle values if there is an even number of values.",True|False,True,beginner
descriptive statistics and distributions,Excel function for mode,multiple choice,Which Excel function returns the value that appears most frequently in a range?,=AVERAGE()|=MEDIAN()|=MODE.SNGL()|=STDEV.S(),=MODE.SNGL(),beginner
descriptive statistics and distributions,Interpreting mean vs median gap,multiple choice,"At Ikeja branch, 30 days of customer data gave a mean of 112.87 and a median of 96. What does the gap between these two figures suggest?",The data is evenly spread with no unusual days|At least one unusually high day is pulling the mean upward|The dataset contains a calculation error|The median is always wrong when it differs from the mean,At least one unusually high day is pulling the mean upward,intermediate
descriptive statistics and distributions,Range formula in Excel,multiple choice,Which Excel formula correctly calculates the range of daily customers recorded in cells D5 to D34?,=RANGE(D5:D34)|=MAX(D5:D34)-MIN(D5:D34)|=AVERAGE(D5:D34)|=D34-D5,=MAX(D5:D34)-MIN(D5:D34),intermediate
descriptive statistics and distributions,Units of standard deviation,True or False,"True or False: The sample standard deviation is expressed in the same units as the original data, for example customers, not customers squared.",True|False,True,intermediate
descriptive statistics and distributions,Choosing mean vs median for skewed data,multiple choice,"A branch manager wants to know how many customers to plan for on a normal day, given a dataset with one extreme promo-day outlier. Which statistic should the analyst report as the ""typical day"" figure?","The mean, because it uses every value|The median, because it is less affected by the outlier|The mode, because it is the easiest to calculate|The range, because it shows the full spread","The median, because it is less affected by the outlier",intermediate
descriptive statistics and distributions,Outlier effect on standard deviation,multiple choice,"Ikeja branch's daily customer data has a standard deviation of about 62 customers when a single promo day is included, but only about 21 when that day is excluded. What is the best explanation for this drop?",The formula was entered incorrectly the first time|Removing a single extreme value can sharply reduce measures of spread|Standard deviation always decreases as more days are added|The mean and standard deviation are unrelated,Removing a single extreme value can sharply reduce measures of spread,advanced
descriptive statistics and distributions,Comparing spread across branches,multiple choice,"Two Aduke Stores branches have nearly identical mean daily customers, but Branch A has a much higher standard deviation than Branch B. What does this tell an analyst about Branch A?","Branch A serves more customers overall|Branch A's daily performance is less predictable, even though the average is similar|Branch A has a data entry error|Branch A's mode is invalid","Branch A's daily performance is less predictable, even though the average is similar",advanced
descriptive statistics and distributions,Multiple modes,True or False,True or False: A dataset can have more than one mode if two or more values are tied for the highest frequency.,True|False,True,advanced
correlation and relationships,Definition of correlation coefficient,multiple choice,What does a correlation coefficient (r) measure?,The average of two variables|How strongly and in which direction two variables move together|The total number of data points in a dataset|The percentage of missing values in a dataset,How strongly and in which direction two variables move together,beginner
correlation and relationships,Range of r,True or False,True or False: A correlation coefficient can range from -1 to +1.,True|False,True,beginner
correlation and relationships,Excel function for correlation,multiple choice,Which Excel function calculates the correlation coefficient between two ranges of data?,=CORREL()|=SLOPE()|=RSQ()|=T.TEST(),=CORREL(),beginner
correlation and relationships,Interpreting r value,multiple choice,"At Ikeja branch, the correlation between marketing spend and daily sales was calculated as r = 0.78. How should this be described?",A weak negative relationship|A strong positive relationship|No relationship at all|A perfect relationship,A strong positive relationship,intermediate
correlation and relationships,Interpreting a weak correlation,multiple choice,"At Yaba branch, the same marketing test produced r = 0.27. What is the most appropriate conclusion?","There is a strong relationship and the manager should copy Ikeja's strategy immediately|There is a weak relationship, so spend alone is not a reliable basis for a budget decision|The result is invalid because it is lower than Ikeja's|A correlation below 0.5 always means no relationship exists","There is a weak relationship, so spend alone is not a reliable basis for a budget decision",intermediate
correlation and relationships,Correlation vs causation,True or False,"True or False: If two variables have a strong positive correlation, this proves that one variable causes the other to increase.",True|False,False,intermediate
correlation and relationships,Spotting a confounding variable,multiple choice,"Sachet water purchases and generator fuel purchases show a strong correlation (r = 0.786), but temperature was never recorded in the dataset. What should an analyst suspect?","Generator fuel definitely causes people to buy water|A hidden factor, such as temperature, may be driving both variables|The correlation coefficient must have been calculated incorrectly|Correlation coefficients cannot be used for this kind of data","A hidden factor, such as temperature, may be driving both variables",intermediate
correlation and relationships,Critiquing an overstated correlation claim,multiple choice,"A colleague claims that because generator fuel purchases and sachet water purchases are correlated, bundling the two products will definitely increase sales of both. What is the strongest critique of this reasoning?","The correlation coefficient is too low to matter|The claim treats a correlation as proof of a direct causal link, without ruling out a shared underlying driver|Correlation coefficients cannot be calculated for purchase data|The bundling idea is unrelated to statistics entirely","The claim treats a correlation as proof of a direct causal link, without ruling out a shared underlying driver",advanced
correlation and relationships,Why to visualise before trusting r,multiple choice,Why is it good practice to build a scatter plot before calculating and reporting a correlation coefficient?,Scatter plots are required by Excel before CORREL will run|A scatter plot lets you visually check whether the relationship looks linear and spot outliers before trusting a single summary number|Scatter plots automatically calculate r for you|Scatter plots replace the need for any further analysis,A scatter plot lets you visually check whether the relationship looks linear and spot outliers before trusting a single summary number,advanced
correlation and relationships,Limits of the correlation coefficient,True or False,True or False: A correlation coefficient close to 0 always means there is no relationship of any kind between the two variables.,True|False,False,advanced
regression fundamentals,Definition of slope,multiple choice,"In a simple regression equation Sales = Intercept + (Slope x Spend), what does the ""slope"" represent?","The predicted sales when spend is zero|How much sales change, on average, for each one-unit increase in spend|The total number of days in the dataset|The correlation coefficient between the two variables","How much sales change, on average, for each one-unit increase in spend",beginner
regression fundamentals,Range of R-squared,True or False,True or False: R-squared is always a value between 0 and 1.,True|False,True,beginner
