Application_ID,Application_Date,Branch_Region,Gender,Marital_Status,Dependents,Education,Employment_Type,Loan_Purpose,Monthly_Income_NGN,Coapplicant_Income_NGN,Loan_Amount_NGN,Loan_Term_Months,Credit_History,Loan_Status
AJB2867,02-Jan-2025,Abuja,Male,Married,1,Graduate,Self-Employed,Construction,543900,0,4311000.0,240.0,0.0,Approved
AJB2611,2026-04-03,Port  Harcourt,Male,Single,2,Not Graduate,Salaried,Renovation,288300,0,2397000.0,12.0,0.0,Approved
AJB2539,2025-10-03,Ibadan,Male,Single,1,Graduate,Self-Employed,Construction,242200,41700,2680000.0,240.0,1.0,Approved
AJB2762,08/06/2025,port harcourt,Male,Married,0,Graduate,Self Employed,Purchase,273600,0,4130000.0,12.0,1.0,Approved
AJB2823,10-Jan-2025,Lagos,Male,Single,0,Not Graduate,Salaried,Renovation,233900,0,881000.0,,1.0,Approved
AJB2777,14/02/2026,Lagos,Male,Married,1,Not Graduate,Salaried,Construction,180300,125500,2880000.0,240.0,1.0,Approved
AJB2503,2025-09-25,Kano,Female,Married,1,Graduate,Self-Employed,Construction,1164100,134000,14350000.0,240.0,1.0,Rejected
AJB2586,20/06/2026,Abuja,Female,Married,0,Graduate,Salaried,Construction,220600,150300,3355000.0,360.0,1.0,Approved
AJB2719,2026-01-25,Abuja,Male,Married,0,Not Graduate,,Land Acquisition,228000,20700,1595000.0,180.0,1.0,Approved
AJB2601,2026-06-20,Lagos,Female,N,0,Graduate,Self-Employed,Construction,116600,55600,1977000.0,240.0,,Approved
AJB2527,23-Sep-2025,Abuja, Male,Single,0,Graduate, Salaried,Construction,171400,0,1942000.0,60.0,1.0,Approved
AJB2769,2025-11-24,Rural North,Male,Married,0,Graduate,Self-Employed,Renovation,550800,102700,4968000.0,60.0,1.0,Rejected
AJB2872,19/04/2025,Abuja,Male,Married,0,Graduate,Self-Employed,Construction,290900,61100,5687000.0,240.0,1.0,Approved
AJB2632,2025-04-18,Rural North,Male,Married,0,Graduate,self-employed,Construction,398200,63900,9132000.0,360.0,,Approved
AJB2673,2026-06-24,Lagos,Female,Single,3+,Not Graduate,Self Employed,Construction,313700,0,3568000.0,240.0,1.0,Approved
AJB2679,2025-10-04,Rural North,Female,Married,0,Graduate,Salaried,Land Acquisition,348200,91200,2654000.0,120.0,1.0,Approved
AJB2598,05-Sep-2025,Lagos,male,Married,0,Not Graduate,Self Employed,Construction,401700,83200,7559000.0,240.0,1.0,Rejected
AJB2541,2026-01-20,Ibadan,Female,Y,2,Graduate,Salaried,Purchase,149200,98800,5309000.0,360.0,1.0,Approved
AJB2814,2026-02-26,abuja,Male,Single,3+,Not Graduate,salaried,Construction,156800,0,1477000.0,12.0,1.0,Rejected
AJB2713,02/04/2026,Port Harcourt,,Single,3+,Not Graduate, Salaried,Construction,272800,0,4534000.0,12.0,1.0,Rejected
AJB2899,05-Mar-2026,Port Harcourt,Male,Single,2,Graduate,,Construction,294600,0,2300000.0,60.0,0.0,Rejected
AJB2519,2026-01-05,Abuja,Male,Single,0,Graduate,Salaried,Land Acquisition,243200,0,2039000.0,36.0,0.0,Rejected
AJB2617,12/09/2025,Lagos,Female,Single,0,Graduate,Salaried,Purchase,330300,0,5397000.0,36.0,1.0,Rejected
