Application_ID,Application_Date,Branch_Region,Gender,Marital_Status,Dependents,Education,Employment_Type,Loan_Purpose,Monthly_Income_NGN,Coapplicant_Income_NGN,Loan_Amount_NGN,Loan_Term_Months,Credit_History,Loan_Status
AJB2765,2025-10-15,Lagos,Male,Single,3+,Graduate,Self-Employed,Construction,391800,0,7140000,180,1,Approved
AJB2565,2025-11-24,Rural North,Male,Single,3+,Not Graduate,Self-Employed,Construction,403300,0,2966000,180,1,Rejected
AJB2620,2025-05-07,Lagos,Male,Single,0,Graduate,Salaried,Purchase,196200,0,3819000,24,0,Approved
AJB2632,2025-04-18,Rural North,Male,Married,0,Graduate,Self-Employed,Construction,398200,63900,9132000,360,1,Approved
AJB2878,2025-07-20,Lagos,Male,Single,0,Not Graduate,Self-Employed,Purchase,280800,0,5531000,240,1,Approved
AJB2526,2026-05-14,Rural North,Male,Married,1,Graduate,Salaried,Purchase,182100,59600,2102000,240,0,Approved
AJB2787,2026-02-09,Ibadan,Male,Single,2,Graduate,Salaried,Construction,220900,0,2443000,240,0,Approved
AJB2611,2026-04-03,Port Harcourt,Male,Single,2,Not Graduate,Salaried,Renovation,288300,0,2397000,12,0,Approved
AJB2780,2025-01-08,Abuja,Male,Married,0,Graduate,Salaried,Construction,246500,91400,4860000,60,1,Approved
AJB2664,2025-05-11,Rural North,Male,Single,3+,Graduate,Salaried,Renovation,291500,0,1172000,180,1,Approved
AJB2556,2026-04-10,Rural North,Male,Single,2,Not Graduate,Salaried,Renovation,297000,0,1921000,60,1,Approved
AJB2774,2025-04-18,Rural North,Female,Married,2,Graduate,Self-Employed,Renovation,235900,145600,1920000,60,1,Approved
AJB2655,2026-01-31,Rural North,Male,Married,3+,Graduate,Salaried,Construction,173600,89200,3328000,240,1,Approved
AJB2846,2025-08-18,Rural North,Female,Married,2,Graduate,Salaried,Purchase,187000,120600,6554000,120,0,Rejected
AJB2720,2026-05-26,Abuja,Male,Single,3+,Graduate,Self-Employed,Construction,125400,0,1003000,60,1,Approved
AJB2893,2025-05-22,Lagos,Female,Married,3+,Graduate,Salaried,Land Acquisition,173100,94700,2232000,36,1,Rejected
AJB2618,2025-04-10,Lagos,Male,Married,0,Not Graduate,Salaried,Renovation,215700,82900,1652000,180,1,Approved
AJB2557,2026-02-02,Port Harcourt,Male,Married,2,Not Graduate,Self-Employed,Purchase,393300,107600,10959000,36,1,Approved
AJB2827,2025-05-27,Lagos,Male,Married,1,Graduate,Self-Employed,Purchase,683600,134700,14133000,240,1,Rejected
AJB2801,2025-10-05,Ibadan,Male,Married,0,Not Graduate,Salaried,Renovation,215000,0,1846000,240,0,Approved
AJB2552,2025-08-09,Port Harcourt,Female,Single,2,Graduate,Salaried,Renovation,323600,0,1848000,24,1,Approved
AJB2638,2026-01-03,Ibadan,Female,Married,3+,Not Graduate,Salaried,Purchase,127400,0,2306000,180,1,Approved
AJB2897,2026-01-15,Lagos,Male,Married,1,Graduate,Salaried,Purchase,141300,108900,2921000,360,1,Approved
AJB2891,2026-03-04,Ibadan,Male,Married,0,Graduate,Salaried,Purchase,245900,94000,4724000,120,1,Approved
AJB2530,2025-05-24,Lagos,Female,Single,1,Graduate,Salaried,Construction,277800,0,3717000,240,1,Rejected
AJB2795,2025-01-02,Lagos,Female,Married,0,Graduate,Salaried,Purchase,245000,106800,6950000,60,1,Approved
AJB2753,2026-01-08,Kano,Male,Married,0,Not Graduate,Self-Employed,Construction,85000,184200,2743000,180,0,Rejected
AJB2694,2025-09-09,Kano,Male,Married,3+,Not Graduate,Self-Employed,Purchase,77900,119900,2765000,240,1,Approved
AJB2731,2025-03-28,Kano,Male,Single,2,Graduate,Self-Employed,Renovation,235300,0,1586000,180,1,Approved
AJB2654,2025-12-10,Kano,Male,Married,3+,Not Graduate,Salaried,Purchase,213400,131000,4991000,24,1,Approved
AJB2728,2026-05-15,Lagos,Male,Married,2,Not Graduate,Self-Employed,Purchase,223400,132100,3548000,240,0,Rejected
AJB2514,2025-05-15,Abuja,Male,Married,0,Graduate,Self-Employed,Renovation,276600,0,2131000,120,1,Approved
AJB2741,2025-05-05,Lagos,Female,Single,1,Graduate,Salaried,Construction,381000,0,2868000,120,1,Approved
AJB2857,2026-04-05,Port Harcourt,Female,Single,0,Graduate,Salaried,Construction,140600,51700,3602000,180,0,Rejected
AJB2560,2026-02-27,Rural North,Male,Married,2,Graduate,Salaried,Construction,260100,101300,3024000,24,1,Approved
AJB2860,2025-01-09,Rural North,Female,Single,0,Not Graduate,Salaried,Construction,360900,0,4758000,240,0,Rejected
AJB2551,2025-10-28,Lagos,Male,Single,0,Graduate,Salaried,Construction,188500,0,2146000,180,1,Approved
AJB2707,2026-05-14,Port Harcourt,Male,Married,0,Graduate,Salaried,Purchase,235900,98100,6537000,360,0,Rejected
AJB2735,2026-04-07,Rural North,Female,Married,1,Not Graduate,Salaried,Renovation,179100,102200,1976000,36,1,Approved
AJB2589,2026-02-01,Port Harcourt,Male,Married,1,Graduate,Salaried,Renovation,354700,0,2005000,360,1,Approved
AJB2687,2026-01-16,Kano,Male,Married,0,Graduate,Salaried,Purchase,282900,0,6028000,240,1,Approved
AJB2677,2025-01-15,Rural North,Female,Married,0,Not Graduate,Salaried,Construction,356100,141100,3776000,120,1,Approved
AJB2746,2025-03-01,Lagos,Male,Married,0,Not Graduate,Salaried,Construction,127500,106400,4374000,12,1,Approved
AJB2805,2026-01-10,Abuja,Male,Married,2,Graduate,Salaried,Renovation,185500,0,1166000,12,1,Rejected
AJB2609,2025-03-28,Lagos,Female,Married,0,Not Graduate,Salaried,Renovation,176500,0,1223000,360,0,Rejected
AJB2864,2025-07-03,Ibadan,Male,Single,0,Not Graduate,Self-Employed,Purchase,311700,0,6466000,36,1,Rejected
AJB2629,2026-04-19,Lagos,Male,Married,2,Graduate,Salaried,Renovation,327100,86100,3239000,120,1,Approved
AJB2737,2025-03-20,Abuja,Female,Single,0,Graduate,Salaried,Purchase,242300,0,2649000,180,1,Rejected
AJB2528,2025-08-26,Port Harcourt,Male,Married,2,Not Graduate,Salaried,Renovation,92500,64800,1270000,360,1,Approved
AJB2541,2026-01-20,Ibadan,Female,Married,2,Graduate,Salaried,Purchase,149200,98800,5309000,360,1,Approved
AJB2503,2025-09-25,Kano,Female,Married,1,Graduate,Self-Employed,Construction,1164100,134000,14350000,240,1,Rejected
AJB2522,2025-03-02,Lagos,Female,Married,0,Not Graduate,Self-Employed,Construction,213600,87400,4386000,12,1,Rejected
AJB2659,2025-04-24,Lagos,Female,Married,1,Graduate,Self-Employed,Purchase,212500,0,3746000,240,1,Approved
AJB2872,2025-04-19,Abuja,Male,Married,0,Graduate,Self-Employed,Construction,290900,61100,5687000,240,1,Approved
AJB2710,2025-12-27,Rural North,Female,Married,1,Not Graduate,Salaried,Construction,270800,84200,4549000,240,1,Rejected
AJB2716,2025-01-28,Lagos,Male,Single,1,Graduate,Self-Employed,Purchase,181700,0,2803000,240,0,Approved
AJB2768,2025-05-25,Ibadan,Male,Married,0,Not Graduate,Salaried,Renovation,81800,8400,491000,180,0,Approved
AJB2614,2025-12-21,Lagos,Male,Married,3+,Graduate,Salaried,Purchase,315800,51500,6286000,240,1,Approved
AJB2898,2025-06-26,Lagos,Male,Single,0,Not Graduate,Self-Employed,Construction,367900,0,5947000,60,1,Approved
AJB2580,2025-08-17,Abuja,Male,Married,0,Graduate,Self-Employed,Renovation,750700,104500,4308000,24,1,Approved
AJB2648,2025-04-22,Ibadan,Male,Single,2,Graduate,Salaried,Purchase,255800,0,2730000,240,1,Rejected
AJB2861,2025-05-25,Lagos,Male,Married,1,Graduate,Salaried,Land Acquisition,261400,27000,2672000,180,1,Approved
AJB2868,2025-01-08,Abuja,Male,Married,2,Graduate,Salaried,Construction,273100,0,4024000,360,1,Rejected
AJB2831,2026-01-31,Abuja,Male,Married,1,Graduate,Salaried,Purchase,160800,134800,2977000,120,0,Approved
AJB2590,2025-01-03,Abuja,Male,Single,0,Graduate,Self-Employed,Land Acquisition,308200,0,2369000,60,1,Approved
AJB2830,2026-03-22,Kano,Female,Married,3+,Graduate,Salaried,Purchase,365400,0,7421000,240,1,Rejected
AJB2833,2025-02-27,Lagos,Female,Married,2,Graduate,Self-Employed,Purchase,186000,124700,4666000,180,0,Rejected
AJB2738,2025-11-12,Abuja,Male,Single,0,Not Graduate,Self-Employed,Construction,309900,93700,5199000,36,1,Rejected
AJB2832,2025-02-12,Rural North,Female,Married,0,Graduate,Self-Employed,Renovation,93900,71300,546000,12,1,Approved
AJB2792,2026-02-06,Kano,Female,Married,0,Graduate,Salaried,Construction,213000,220800,7723000,60,0,Rejected
AJB2885,2025-02-02,Ibadan,Female,Married,2,Not Graduate,Self-Employed,Construction,91900,87900,1318000,240,1,Rejected
AJB2645,2025-03-22,Rural North,Male,Married,0,Graduate,Salaried,Purchase,299900,57000,4044000,60,1,Approved
AJB2670,2025-02-24,Abuja,Male,Married,0,Graduate,Salaried,Purchase,136100,112600,4838000,240,0,Rejected
AJB2732,2025-03-16,Lagos,Female,Married,1,Graduate,Salaried,Construction,292000,111300,3224000,60,1,Approved
AJB2874,2026-06-19,Abuja,Male,Married,1,Graduate,Salaried,Construction,333100,90400,6527000,180,0,Approved
AJB2721,2025-06-01,Port Harcourt,Male,Married,2,Graduate,Salaried,Land Acquisition,356600,148200,5329000,180,0,Rejected
AJB2559,2026-05-31,Lagos,Male,Single,1,Not Graduate,Salaried,Renovation,202000,81500,1324000,360,1,Approved
AJB2862,2025-11-11,Port Harcourt,Male,Married,2,Not Graduate,Salaried,Purchase,148900,55400,1827000,24,1,Approved
AJB2574,2026-05-04,Abuja,Male,Married,2,Graduate,Self-Employed,Purchase,323600,147200,7973000,240,0,Approved
AJB2579,2025-05-14,Lagos,Female,Married,1,Graduate,Salaried,Land Acquisition,274600,136700,3380000,24,0,Approved
AJB2770,2025-07-13,Kano,Male,Married,2,Not Graduate,Salaried,Renovation,201100,57600,1685000,36,1,Rejected
AJB2598,2025-09-05,Lagos,Male,Married,0,Not Graduate,Self-Employed,Construction,401700,83200,7559000,240,1,Rejected
AJB2581,2025-07-07,Lagos,Male,Married,1,Graduate,Self-Employed,Purchase,381200,100300,4435000,240,1,Approved
AJB2550,2025-01-23,Rural North,Male,Married,0,Graduate,Salaried,Construction,179600,103100,4203000,360,1,Approved
AJB2744,2025-09-12,Abuja,Male,Single,0,Graduate,Salaried,Purchase,206300,40100,3234000,360,1,Approved
AJB2858,2026-05-23,Rural North,Male,Married,0,Graduate,Self-Employed,Construction,381500,84800,5788000,240,1,Approved
AJB2647,2025-04-07,Rural North,Male,Married,2,Graduate,Salaried,Purchase,241200,70800,2872000,360,1,Approved
AJB2886,2025-12-05,Rural North,Female,Single,0,Graduate,Salaried,Construction,237000,0,3521000,360,1,Approved
AJB2553,2026-04-07,Rural North,Male,Married,3+,Graduate,Salaried,Construction,212400,0,3838000,180,1,Approved
