title,description,type,question,options,answer,difficulty
the power bi environment and data loading,Purpose of Power Query,multiple choice,"In Power BI, what is Power Query used for?",Building charts on the report canvas|Cleaning and transforming data before it loads into the model|Writing DAX measures|Publishing a report to the Power BI Service,Cleaning and transforming data before it loads into the model,beginner
the power bi environment and data loading,Four views identification,multiple choice,"Which Power BI Desktop view shows one table at a time as rows and columns, similar to a spreadsheet?",Report view|Table view|Model view|Power Query editor,Table view,beginner
the power bi environment and data loading,Load vs Transform data,multiple choice,"When importing a CSV, why should a user choose Transform data instead of Load?","Transform data is faster because it skips reading the whole file|Transform data opens Power Query first, so column types can be corrected before anything downstream is built|Load data cannot import CSV files at all|Transform data automatically deletes duplicate rows","Transform data opens Power Query first, so column types can be corrected before anything downstream is built",intermediate
the power bi environment and data loading,Why ID columns should be text,multiple choice,A rider ID column such as R-014 is typed as a Whole number instead of Text. What is the most likely consequence?,"Power BI will refuse to load the column|Power BI may auto-sum the column into a meaningless total, and leading zeros can be stripped|The column will automatically convert to Text on refresh|Relationships built on the column always fail immediately","Power BI may auto-sum the column into a meaningless total, and leading zeros can be stripped",intermediate
the power bi environment and data loading,Rule vs edit,multiple choice,"Which Power Query step is a rule rather than an edit, and will therefore still work correctly after next month's data refresh?",Delete rows 412 to 415|Remove rows where CustomerID is blank|Delete the third column from the left|Rename Column1 to RiderID because that is what it currently means,Remove rows where CustomerID is blank,advanced
the power bi environment and data loading,Grain of the SwiftRoute deliveries table,multiple choice,What is the grain of the swiftroute_deliveries table?,One row per rider|One row per route|One row per delivery|One row per day,One row per delivery,intermediate
the power bi environment and data loading,Applied Steps pane,True or False,"True or False: In Power Query, the Applied Steps pane records every transformation as a named, reorderable step, so a badly ordered step can be fixed by dragging it rather than starting again.",True|False,True,advanced
the power bi environment and data loading,Recommended order of work,multiple choice,What is the recommended order of work when building a Power BI report?,"Visualise first, then model, then clean|Clean first, model second, visualise last|Model first, then clean, then visualise|There is no recommended order, all three can happen in any sequence","Clean first, model second, visualise last",beginner
the power bi environment and data loading,What the report canvas stage does not enforce,multiple choice,Power BI makes it very easy to build a chart on the report canvas. What does it not enforce?,"That the chart uses a supported visual type|That the chart is honest, such as using an appropriate axis and avoiding a misleading scale|That the chart has a title|That the underlying data has finished loading","That the chart is honest, such as using an appropriate axis and avoiding a misleading scale",intermediate
the power bi environment and data loading,Consequence of trailing whitespace,multiple choice,A RiderID value has an invisible trailing space in one table but not in another. What happens when a relationship is built between the two tables on that column?,"Power BI raises a clear error explaining the mismatch|The relationship builds but silently fails to match those rows, producing blanks with no warning|Power BI automatically trims the space and the relationship works correctly|The file refuses to open","The relationship builds but silently fails to match those rows, producing blanks with no warning",advanced
data modelling and relationships,Fact table definition,multiple choice,What best describes a fact table in a star schema?,"A short, wide table that describes things and rarely changes|A long, narrow table that records events and grows continuously|A table that only contains text columns|A table with no primary key","A long, narrow table that records events and grows continuously",beginner
data modelling and relationships,Dimension table definition,multiple choice,What best describes a dimension table?,"It records one row per event that happened|It describes things that exist, one row per thing, and changes rarely|It always has more rows than the fact table|It cannot be connected to a fact table","It describes things that exist, one row per thing, and changes rarely",beginner
data modelling and relationships,Correct relationship cardinality,multiple choice,"When a relationship is built correctly between riders and swiftroute_deliveries, what should the cardinality read?","Many to many|One to many, with the one on the deliveries side|One to many, with the one on the riders side|One to one","One to many, with the one on the riders side",beginner
data modelling and relationships,"Why the flat table returned 41,280 riders",multiple choice,"A flat table joining all five SwiftRoute files together returned a rider count of 41,280 instead of 68. Why?","The data contained duplicate rider records|The grain of the flat table is one row per delivery, so counting the rider name column counts deliveries, not riders|Power BI has a bug when counting text columns|The rider table was not loaded","The grain of the flat table is one row per delivery, so counting the rider name column counts deliveries, not riders",intermediate
data modelling and relationships,Cross-filter direction default,multiple choice,"What should the cross-filter direction be set to on a relationship between a dimension and a fact table, by default?","Both|Single, flowing from the dimension to the fact table|Single, flowing from the fact table to the dimension|None","Single, flowing from the dimension to the fact table",intermediate
data modelling and relationships,Risk of Both cross-filter direction,multiple choice,What is the main risk of setting a relationship's cross-filter direction to Both?,"The report will not open|Filters can reach the same table by more than one path, causing a different, unrelated visual to become quietly wrong|It doubles the file size|It disables all slicers in the report","Filters can reach the same table by more than one path, causing a different, unrelated visual to become quietly wrong",advanced
data modelling and relationships,Why mark a date table,multiple choice,Why should the dates table be explicitly marked as a date table in Power BI?,It is required before any relationship can be built at all|It is required for time-intelligence functions such as month-over-month comparisons to work correctly|It changes the colour of the table in Model view|It is only needed if the file contains more than one year of data,It is required for time-intelligence functions such as month-over-month comparisons to work correctly,intermediate
data modelling and relationships,Diagnosing a relationship that produces blanks with no error,multiple choice,A relationship between routes and deliveries builds without error but produces blank results for one route. What is the most likely cause?,The route genuinely has zero deliveries|A trailing space or inconsistent formatting on the key column in one of the two tables|The relationship was set to many to many on purpose|Power BI cannot join text columns,A trailing space or inconsistent formatting on the key column in one of the two tables,intermediate
data modelling and relationships,When a flat table is an acceptable design,multiple choice,"According to the honest caveat on flat tables, when is a single flat table an acceptable design choice?","Never, a star schema is always required|When there is one source, nothing worth describing separately, no time comparisons, and no counting of distinct things|Only when there are fewer than 100 rows|Only when the report will never be published","When there is one source, nothing worth describing separately, no time comparisons, and no counting of distinct things",advanced
data modelling and relationships,Cost of averaging on a flat table,multiple choice,"On a flat delivery-grain table, why would an average of rider tenure be misleading?","Averages cannot be calculated in Power BI|Each rider is weighted by how many deliveries they happened to make, so busy riders dominate a figure that should treat every rider equally|Tenure cannot be stored as a number|The average would always return blank","Each rider is weighted by how many deliveries they happened to make, so busy riders dominate a figure that should treat every rider equally",advanced
dax fundamentals,Measure vs calculated column,multiple choice,What is the key difference between a calculated column and a measure in Power BI?,A calculated column is computed once per row at load time and stored; a measure is computed on demand and stores nothing|A measure is computed once per row at load time; a calculated column is computed on demand|There is no functional difference between them|Calculated columns can only contain numbers,A calculated column is computed once per row at load time and stored; a measure is computed on demand and stores nothing,beginner
dax fundamentals,Correct aggregation measure,multiple choice,Which DAX expression correctly counts every row in the swiftroute_deliveries table?,SUM ( swiftroute_deliveries[DeliveryID] )|COUNTROWS ( swiftroute_deliveries )|AVERAGE ( swiftroute_deliveries[DeliveryID] )|swiftroute_deliveries[DeliveryID] + 1,COUNTROWS ( swiftroute_deliveries ),beginner
dax fundamentals,Why DIVIDE instead of the slash,multiple choice,Why is DIVIDE preferred over the forward slash operator for a ratio measure in DAX?,DIVIDE is faster to type|DIVIDE checks for a zero denominator and returns blank instead of an error or Infinity|The slash operator does not exist in DAX|DIVIDE always returns a percentage automatically,DIVIDE checks for a zero denominator and returns blank instead of an error or Infinity,beginner
