title,description,type,question,options,answer,difficulty
the analytics lifecycle and data-driven decision making,Lifecycle stage order,multiple choice,What is the correct order of the six stages in the analytics lifecycle?,"Data Collection, Business Question, Analysis, Data Preparation, Communication, Interpretation|Business Question, Data Collection, Data Preparation, Analysis, Interpretation, Communication|Business Question, Analysis, Data Collection, Interpretation, Data Preparation, Communication|Data Preparation, Data Collection, Business Question, Analysis, Communication, Interpretation","Business Question, Data Collection, Data Preparation, Analysis, Interpretation, Communication",beginner
the analytics lifecycle and data-driven decision making,Business question stage,multiple choice,"Which stage of the analytics lifecycle involves turning a vague concern such as ""delivery is bad"" into a specific, answerable question?",Data Preparation|Analysis|Business Question|Communication,Business Question,beginner
the analytics lifecycle and data-driven decision making,Data preparation definition,multiple choice,Which of the following best describes the Data Preparation stage?,Gathering the data needed to answer the question|Cleaning and organising raw data so it is fit for analysis|Deciding what the numbers mean for the business|Presenting a finding so the right person can act on it,Cleaning and organising raw data so it is fit for analysis,beginner
the analytics lifecycle and data-driven decision making,Classify duplicate removal task,multiple choice,A colleague asks you to remove duplicate rows from the delivery log before any calculations are done. Which lifecycle stage does this task belong to?,Business Question|Data Preparation|Interpretation|Communication,Data Preparation,intermediate
the analytics lifecycle and data-driven decision making,Classify manager's question,multiple choice,"A manager asks: ""Are late deliveries getting better or worse this quarter?"" Formulating and sharpening this request into something answerable represents which stage?",Business Question|Analysis|Data Collection|Interpretation,Business Question,intermediate
the analytics lifecycle and data-driven decision making,Classify average calculation task,multiple choice,You use a spreadsheet formula to calculate the average delay per branch from the cleaned delivery log. Which stage are you performing?,Data Collection|Data Preparation|Analysis|Communication,Analysis,intermediate
the analytics lifecycle and data-driven decision making,Classify summary communication task,multiple choice,You send a one-page summary to the operations manager recommending a dispatch-process review for the Ikeja branch. Which stage is this?,Analysis|Interpretation|Communication|Data Collection,Communication,intermediate
the analytics lifecycle and data-driven decision making,Analysis vs interpretation distinction,multiple choice,"Ikeja's average delay is calculated as 2.3 days, nearly double every other branch. Stating that this is driving most of last month's complaints and is worth investigating first belongs to which stage?",Analysis|Interpretation|Data Collection|Business Question,Interpretation,advanced
the analytics lifecycle and data-driven decision making,Lifecycle as a loop,multiple choice,Why is the analytics lifecycle better represented as a loop rather than a straight line?,"Because each stage must be repeated exactly twice before moving on|Because a communicated insight often produces a new business question, restarting the cycle|Because Data Collection and Data Preparation are actually the same stage|Because Analysis always comes before Data Collection in practice","Because a communicated insight often produces a new business question, restarting the cycle",advanced
the analytics lifecycle and data-driven decision making,Identify skipped interpretation stage,multiple choice,A team produces a chart of branch delay averages and hands it to a manager with no accompanying explanation of why it matters or what to do next. Which stage was most likely skipped?,Data Collection|Data Preparation|Interpretation|Business Question,Interpretation,advanced
"data types, data structures and the data team",Identify numerical column,multiple choice,"In the delivery log, which column is an example of numerical data?",branch|delay_days|complaint_notes|delivery_partner,delay_days,beginner
"data types, data structures and the data team",Identify categorical column,multiple choice,Which column in the delivery log is best described as categorical data?,delay_days|order_value_naira|branch|dispatch_date,branch,beginner
"data types, data structures and the data team",Structured vs unstructured definition,multiple choice,What is the key difference between structured and unstructured data?,"Structured data is always numerical, unstructured data is always text|Structured data fits neatly into rows and columns, unstructured data has no fixed row-and-column shape|Structured data is stored on paper, unstructured data is stored digitally|Structured data cannot be analysed, unstructured data can always be analysed directly","Structured data fits neatly into rows and columns, unstructured data has no fixed row-and-column shape",beginner
"data types, data structures and the data team",Order ID as categorical,multiple choice,The delivery log's order_id column is made up entirely of digits. Why is it best classified as categorical rather than numerical?,"Because it is stored as text in the file|Because you would never meaningfully average or sum two order IDs|Because it always starts with the letters ""ORD""|Because it is the first column in the file",Because you would never meaningfully average or sum two order IDs,intermediate
