Application_ID,Application_Date,Branch_Region,Gender,Marital_Status,Dependents,Education,Employment_Type,Loan_Purpose,Monthly_Income_NGN,Coapplicant_Income_NGN,Loan_Amount_NGN,Loan_Term_Months,Credit_History,Loan_Status,Total_Household_Income_NGN,Loan_To_Income_Ratio,Application_Year
TBM3062,2025-02-16,Lagos,Male,Single,0,Not Graduate,Salaried,Land Acquisition,188900,0,1733000.0,360.0,1.0,Approved,188900,9.17,2025
TBM3277,2026-02-27,Kano,Male,Single,1,Graduate,Self-Employed,Construction,326300,0,2155000.0,300.0,1.0,Approved,326300,6.6,2026
TBM3311,2026-03-07,Ibadan,Male,Single,0,Not Graduate,Salaried,Land Acquisition,233700,0,2612000.0,60.0,1.0,Approved,233700,11.18,2026
TBM3008,2026-05-11,Lagos,Male,Married,0,Not Graduate,Self-Employed,Construction,383100,91100,4163000.0,180.0,1.0,Rejected,474200,8.78,2026
TBM3127,2025-11-10,Lagos,Male,Married,1,Graduate,Self-Employed,Land Acquisition,131700,0,300000.0,180.0,1.0,Approved,131700,2.28,2025
TBM3148,2025-08-26,Abuja,Not Stated,Married,1,Not Graduate,Salaried,Renovation,151800,0,2715000.0,120.0,1.0,Approved,151800,17.89,2025
TBM3175,2026-03-19,Abuja,Male,Married,0,Not Graduate,Salaried,Renovation,206200,0,1460000.0,180.0,1.0,Approved,206200,7.08,2026
TBM3004,2024-10-19,Lagos,Male,Married,0,Graduate,Salaried,Renovation,160000,0,385000.0,36.0,1.0,Approved,160000,2.41,2024
TBM3196,2026-05-28,Abuja,Male,Single,0,Not Graduate,Salaried,Purchase,200700,0,3367000.0,60.0,1.0,Approved,200700,16.78,2026
TBM3266,2026-07-26,Kano,Male,Single,3+,Graduate,Self-Employed,Purchase,370700,0,3430000.0,240.0,1.0,Approved,370700,9.25,2026
TBM3275,2026-07-11,Kano,Not Stated,Married,2,Not Graduate,Salaried,Renovation,260700,0,3964000.0,60.0,1.0,Approved,260700,15.21,2026
TBM3342,2025-04-10,Jos,Male,Single,1,Not Graduate,Salaried,Construction,204300,0,2618000.0,180.0,0.0,Rejected,204300,12.81,2025
TBM3232,2025-04-06,Port Harcourt,Male,Single,0,Graduate,Self-Employed,Purchase,193800,0,382000.0,300.0,1.0,Approved,193800,1.97,2025
TBM3054,2025-04-23,Lagos,Female,Married,1,Graduate,Salaried,Purchase,167300,96900,300000.0,120.0,0.0,Rejected,264200,1.14,2025
TBM3238,2024-09-22,Port Harcourt,Female,Single,3+,Graduate,Salaried,Renovation,338500,0,868000.0,180.0,1.0,Rejected,338500,2.56,2024
TBM3345,2026-05-11,Jos,Female,Married,1,Graduate,Salaried,Construction,174200,0,300000.0,60.0,1.0,Approved,174200,1.72,2026
TBM3181,2026-03-07,Abuja,Male,Married,1,Not Graduate,Salaried,Renovation,158800,0,2654000.0,180.0,1.0,Approved,158800,16.71,2026
TBM3334,2025-08-17,Ibadan,Female,Married,0,Graduate,Salaried,Land Acquisition,130300,64100,2637000.0,120.0,1.0,Approved,194400,13.56,2025
TBM3362,2025-11-20,Jos,Male,Married,1,Not Graduate,Salaried,Construction,222500,0,3396000.0,240.0,0.0,Rejected,222500,15.26,2025
