RecordID,State,Market,ProduceType,Unit,Price,Quantity,DateCollected,FieldOfficer,Notes
1020,Enugu,Ogbete Main Market,Pepper (Tatashe),Basket,NGN 24520,,2026-01-13,,supply shortage
1046,Abia,Ariaria Market,Sugar,50kg bag,NGN 45353,,01/08/2026,S. Danladi,N/A
1057,Katsina,Katsina Central Market,Palm Oil,25L Keg,34498,2,2026-06-28,  J. Nwosu,PENDING VERIFICATION
1011,Anambra,Onitsha Main Market,Yam,tuber,1028,1,01/01/2026,  J. Nwosu,supply shortage
1039,Plateau,Jos Terminus Market,Yam,tuber,"₦1,624",,2026-02-19,K. Chukwu,PENDING VERIFICATION
1018,FCT,Kubwa Market,Groundnut Oil,25L Keg,36239,10,19/04/2026,K. Chukwu,N/A
1074,Ekiti,Erekesan Market,Yam,Tuber (medium),1699,3,04/14/2026,  J. Nwosu,supply shortage
1096,Anambra,Onitsha Main Market,Rice (Foreign),50kg bag,65586,1,21/07/2026,A.Bello,
1031,Abia,Ariaria Market,Fresh Fish (Catfish),Kg,,1,2026-08-30,M. Yusuf,supply shortage
1048,Ogun,Kara Market,Yam,tuber,1906,1,2026-04-09,M. Yusuf,
1009,Plateau,Jos Terminus Market,Chicken (Live),Bird,,1,07-May-2026,C. Okoro,
1016,Ekiti,Erekesan Market,Fresh Fish (Catfish),Kg,"₦2,271",1,2026-07-01,,
1080,Kaduna,Kaduna Central Market,Yam,Tuber (medium),"1,697",,2026-01-08,,verified
1036,Katsina,Katsina Central Market,Fresh Fish (Catfish),Kg,,1,15/02/2026,R. Etim,Off-season
1002,Abia,Ariaria Market,Chicken (Live),Bird,NGN 6778,1,"26 July, 2026",M. Yusuf,
1055,lagos,Mile 12 Market,Tomatoes,Basket,16102,1,09-Feb-2026,T. Adewale,
1044,Enugu,Ogbete Main Market,Rice (Foreign),50kg bag,"₦66,497",1,"19 April, 2026",T. Adewale,
1045,Borno,Monday Market,Garri (White),50kg bag,NGN 37031,,2026-07-25,A.Bello,PENDING VERIFICATION
1048,Ogun,Kara Market,Yam,tuber,1906,1,2026-04-09,M. Yusuf,
1077,FCT,Kubwa Market,Pepper (Tatashe),Basket,25401,5,21/06/2026,C. Okoro,
1037,,Kara Market,Groundnut Oil,25L Keg,"49,864",1,19/08/2026,R. Etim,Price surge due to fuel scarcity
1050,FCT,Kubwa Market,Tomatoes,Basket,19526,10,"17 August, 2026",K. Chukwu,supply shortage
1067,lagos,Mile 12 Market,Tomatoes,basket,26132,1,08/11/2026,A.Bello,
