title,description,type,question,options,answer,difficulty
the ai-augmented pipeline end to end,Stages of the pipeline,multiple choice,What are the four stages of the analysis pipeline this module runs end to end?,"Clean, analyse, visualise, report|Collect, store, secure, archive|Plan, build, test, deploy|Import, sort, filter, print","Clean, analyse, visualise, report",beginner
the ai-augmented pipeline end to end,Purpose of the answer key,multiple choice,The Q3 dataset ships with an answer key workbook. What is it for?,Measuring how close a trainee's cleaning came to ground truth|Replacing the raw file once cleaning becomes difficult|Providing the figures to quote directly in the final report|Supplying the rows that are missing from the raw file,Measuring how close a trainee's cleaning came to ground truth,beginner
the ai-augmented pipeline end to end,Raw row count,multiple choice,"The deliveries sheet of swiftroute_q3_raw.xlsx holds 3,640 rows but only 3,600 distinct delivery IDs. What explains the difference?",Forty delivery IDs each appear twice|Forty rows have a blank delivery ID|Forty rows belong to a different quarter|Forty rows are summary subtotals,Forty delivery IDs each appear twice,beginner
the ai-augmented pipeline end to end,Cleaning order matters,multiple choice,"In the Q3 file, why should duplicate rows be removed before other repairs are applied?",Otherwise effort is spent repairing rows that are about to be deleted|Otherwise the duplicates cannot be found at all|Because pandas requires de-duplication as the first operation|Because the answer key is sorted by delivery ID,Otherwise effort is spent repairing rows that are about to be deleted,intermediate
the ai-augmented pipeline end to end,Ambiguous date parsing,multiple choice,The date column mixes DD/MM/YYYY and MM-DD-YYYY. Why is a general purpose date parser the wrong tool here?,"It resolves ambiguous values silently, so wrong dates raise no error|It cannot read text dates at all|It refuses to run when more than one format is present|It converts every date to the first format it encounters","It resolves ambiguous values silently, so wrong dates raise no error",intermediate
the ai-augmented pipeline end to end,Fee column conversion,multiple choice,"The fee column arrives as text such as ₦45,320. What must happen before it can be summed?",Every character that is not a digit is stripped and the result converted to a number|The column is sorted so the currency symbols group together|The naira sign is replaced with a decimal point|The column is copied into a new sheet,Every character that is not a digit is stripped and the result converted to a number,intermediate
the ai-augmented pipeline end to end,Route code standardisation,multiple choice,"Route LAG-07 appears 288 times, half of them written LAG07 without the hyphen. Why must this be fixed before joining to the fuel cost sheet?","The fuel sheet uses only the hyphenated form, so unmatched rows drop out of the join silently|Power Query cannot join on text columns|The hyphen makes the code longer than the join allows|The fuel sheet contains both spellings, so rows would be duplicated","The fuel sheet uses only the hyphenated form, so unmatched rows drop out of the join silently",intermediate
the ai-augmented pipeline end to end,Unrecoverable values,multiple choice,"Two rows in the Q3 file carry dates in 2027, outside the quarter. What is the correct treatment in a cleaned table?","Set them to blank, count them, and raise the question with the business|Replace them with the quarter's median date|Shift them back exactly one year|Delete the two rows without recording it","Set them to blank, count them, and raise the question with the business",advanced
the ai-augmented pipeline end to end,Blank statuses,multiple choice,A trainee fills the 116 blank delivery statuses with Delivered because it is the most common value. What is wrong with this?,It invents outcomes that no reader of the report can distinguish from measured ones|It makes the file larger than the answer key|Delivered is not one of the statuses used in this dataset|It breaks the join to the complaints sheet,It invents outcomes that no reader of the report can distinguish from measured ones,advanced
the ai-augmented pipeline end to end,Counts from a sample,multiple choice,An AI assistant given the Q3 file describes its faults well but reports the wrong number of duplicate IDs. What does this show about where it can be trusted?,"It reasons over a sample, so it is useful for describing shape and unreliable for counting|It cannot read Excel files at all|It always underestimates counts by a fixed proportion|It needs the answer key before it can count anything","It reasons over a sample, so it is useful for describing shape and unreliable for counting",advanced
forecasting with ai support,What a trend forecast assumes,multiple choice,What single assumption does a trend-based forecast make?,That the pattern in the historical period continues into the forecast period|That every future period equals the average of the past|That the data contains no seasonality of any kind|That the most recent value is the best estimate of the next one,That the pattern in the historical period continues into the forecast period,beginner
forecasting with ai support,Reading R-squared,multiple choice,A weekly delivery trend returns an R-squared of 0.33. What does that mean?,The trend explains about a third of the week to week variation|The forecast will be within a third of the true value|A third of the weeks were excluded from the fit|The result is statistically significant at the one third level,The trend explains about a third of the week to week variation,beginner
forecasting with ai support,Purpose of a naive baseline,multiple choice,Why compare a forecast against holding the recent average flat?,Because a model that cannot beat the flat baseline is not worth using|Because regulators require a second forecast|Because the flat baseline is always more accurate|Because it converts the forecast into a percentage,Because a model that cannot beat the flat baseline is not worth using,beginner
forecasting with ai support,Partial periods,multiple choice,The first and last calendar weeks of SwiftRoute's Q3 hold 190 and 113 deliveries against a typical 270. What is the correct interpretation?,"They are partial weeks, because the quarter starts and ends mid-week|Demand collapsed at both ends of the quarter|Those weeks were affected by missing data in the source file|Those weeks contain the rows with unrecoverable dates","They are partial weeks, because the quarter starts and ends mid-week",intermediate
forecasting with ai support,Effect of partial weeks on the fit,multiple choice,"Fitted on all 14 calendar weeks the slope is -0.347 per week, and on the 12 complete weeks it is +2.948. What changed?",Only which rows were used; the two partial weeks pull the line down at both ends|The method changed from linear to non-linear|The complete-week fit uses revenue rather than delivery counts|The 14-week fit includes the forecast period,Only which rows were used; the two partial weeks pull the line down at both ends,intermediate
forecasting with ai support,Turning a point estimate into a range,multiple choice,What is used to build the range around a trend forecast in this topic?,The standard deviation of the fit's own residuals|A fixed ten per cent above and below the estimate|The difference between the highest and lowest historical week|The R-squared expressed as a percentage of the estimate,The standard deviation of the fit's own residuals,intermediate
forecasting with ai support,Communicating a forecast,multiple choice,Which statement communicates the Q4 forecast honestly to a business audience?,"Between 3,840 and 4,257 deliveries, most likely around 4,050, assuming nothing changes about the routes|Exactly 4,049 deliveries next quarter|Roughly the same as last quarter, give or take|4,049 deliveries, with a confidence level of 33 per cent","Between 3,840 and 4,257 deliveries, most likely around 4,050, assuming nothing changes about the routes",intermediate
