CustomerID,BusinessName,Sector,BillingHub
C-0001,Zenith Grocery Nigeria Ltd,Grocery,Surulere
C-0002,Anchor Electronics Global,Fashion,Surulere
C-0003,Ivory Restaurant Stores,Fashion,Ikeja
C-0004,Beacon Fashion Stores,Bookshop,Lekki
C-0005,Zenith Retail & Sons,Bookshop,Lekki
C-0006,Delta Restaurant Group,Restaurant,Lekki
C-0007,Palmwine Fashion Nigeria Ltd,Fashion,Yaba
C-0008,Delta Restaurant Stores,Bookshop,Surulere
C-0009,Zenith Bookshop Global,Pharmacy,Ikorodu
C-0010,Naija Cosmetics Stores,Bookshop,Ikeja
C-0011,Crownline Restaurant Nigeria Ltd,Cosmetics,Yaba
C-0012,Beacon Pharmacy Enterprises,Electronics,Ikeja
C-0013,Zenith Electronics Group,Electronics,Surulere
C-0014,Goldmark Restaurant Enterprises,Electronics,Apapa
C-0015,Zenith Pharmacy Enterprises,Cosmetics,Ikeja
C-0016,Delta Retail & Sons,Fashion,Lekki
C-0017,Highland Fashion Global,Grocery,Surulere
C-0018,Crownline Electronics Ltd,Restaurant,Yaba
C-0019,Highland Cosmetics Enterprises,Electronics,Surulere
C-0020,Highland Retail Group,Electronics,Surulere
C-0021,Zenith Electronics Enterprises,Electronics,Yaba
C-0022,Naija Retail Global,Bookshop,Apapa
C-0023,Ivory Retail Stores,Fashion,Lekki
C-0024,Sahara Pharmacy Group,Retail,Apapa
C-0025,Everfresh Restaurant Stores,Grocery,Yaba
C-0026,Highland Bookshop Stores,Grocery,Surulere
C-0027,Delta Bookshop Enterprises,Cosmetics,Apapa
C-0028,Beacon Bookshop Global,Pharmacy,Ikorodu
C-0029,Harmattan Cosmetics Nigeria Ltd,Fashion,Ikorodu
C-0030,Kola Pharmacy Enterprises,Restaurant,Ikeja
C-0031,Cocoa Electronics Group,Fashion,Ikorodu
C-0032,Naija Cosmetics Group,Electronics,Ikorodu
C-0033,Harmattan Electronics Ventures,Cosmetics,Lekki
C-0034,Crownline Fashion Global,Restaurant,Apapa
C-0035,Anchor Retail Global,Bookshop,Yaba
C-0036,Zenith Cosmetics Global,Grocery,Surulere
